GalaxyID,Class1.1,Class1.2,Class1.3,Class2.1,Class2.2,Class3.1,Class3.2,Class4.1,Class4.2,Class5.1,Class5.2,Class5.3,Class5.4,Class6.1,Class6.2,Class7.1,Class7.2,Class7.3,Class8.1,Class8.2,Class8.3,Class8.4,Class8.5,Class8.6,Class8.7,Class9.1,Class9.2,Class9.3,Class10.1,Class10.2,Class10.3,Class11.1,Class11.2,Class11.3,Class11.4,Class11.5,Class11.6
100053,0.765717,0.177352,0.056931,0.0,0.177352,0.0,0.177352,0.0,0.177352,0.0,0.11778975,0.05956225,0.0,0.0,1.0,0.0,0.74186415,0.02385285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100078,0.693377,0.238564,0.068059,0.0,0.238564,0.109493481,0.129070519,0.189098232,0.049465768,0.0,0.0,0.113284024,0.125279976,0.320398,0.679602,0.408599439,0.284777561,0.0,0.0,0.0,0.0961194,0.0961194,0.0,0.1281592,0.0,0.0,0.0,0.0,0.094549116,0.0,0.094549116,0.189098232,0.0,0.0,0.0,0.0,0.0
100090,0.933839,0.0,0.066161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029383,0.970617,0.494587282,0.439251718,0.0,0.0,0.0,0.0,0.0,0.0,0.029383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100122,0.738832,0.238159,0.023009,0.0,0.238159,0.0,0.238159,0.0,0.238159,0.0,0.0,0.238159,0.0,0.19793,0.80207,0.066806667,0.663691308,0.008334764,0.0,0.0,0.0494825,0.098965,0.0494825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100128,0.687783,0.288344,0.023873,0.0,0.288344,0.069098179,0.219245821,0.0,0.288344,0.067228269,0.123624607,0.027835576,0.069655548,0.473888,0.526112,0.482482526,0.205300474,0.0,0.0,0.067765984,0.033646048,0.0,0.304709984,0.067765984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100295,0.742621,0.191321,0.066058,0.0,0.191321,0.078696258,0.112624742,0.0,0.191321,0.0,0.0,0.191321,0.0,0.382008,0.617992,0.0,0.647901177,0.094719823,0.0,0.095597502,0.222933757,0.031738371,0.031738371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100428,0.715291,0.259587,0.025122,0.0,0.259587,0.0,0.259587,0.0,0.259587,0.0,0.107867744,0.151719256,0.0,0.079298,0.920702,0.562276665,0.153014335,0.0,0.003881716,0.0,0.03905482,0.0,0.036361384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100434,0.748,0.214,0.038,0.0,0.214,0.0,0.214,0.0,0.214,0.0,0.0535,0.13375,0.02675,0.083,0.917,0.561,0.187,0.0,0.0,0.027666639,0.0,0.0,0.027666639,0.027666639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100444,0.791103,0.138192,0.070705,0.0,0.138192,0.0,0.138192,0.0,0.138192,0.0,0.0829152,0.0552768,0.0,0.088829,0.911171,0.162967218,0.534785628,0.093350154,0.000178,0.022140539,0.0,0.0,0.044369997,0.022140539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100458,0.820908,0.081499,0.097593,0.0,0.081499,0.0,0.081499,0.0,0.081499,0.0,0.0,0.081499,0.0,0.921161,0.078839,0.355111666,0.465796334,0.0,0.0,0.026713669,0.081062168,0.0,0.244107665,0.569277498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
