GalaxyID,Class1.1,Class1.2,Class1.3,Class2.1,Class2.2,Class3.1,Class3.2,Class4.1,Class4.2,Class5.1,Class5.2,Class5.3,Class5.4,Class6.1,Class6.2,Class7.1,Class7.2,Class7.3,Class8.1,Class8.2,Class8.3,Class8.4,Class8.5,Class8.6,Class8.7,Class9.1,Class9.2,Class9.3,Class10.1,Class10.2,Class10.3,Class11.1,Class11.2,Class11.3,Class11.4,Class11.5,Class11.6
100023,0.327001,0.663777,0.009222,0.031178269,0.632598731,0.467369636,0.165229095,0.591327989,0.041270741,0.0,0.236781072,0.160940708,0.23487695,0.189149,0.810851,0.0,0.135081824,0.191919176,0.0,0.0,0.140353476,0.0,0.048795524,0.0,0.0,0.012414127,0.0,0.018764143,0.0,0.131377705,0.459950285,0.0,0.591327989,0.0,0.0,0.0,0.0
100134,0.021834,0.976952,0.001214,0.021750859,0.955201141,0.313076726,0.642124415,0.546490632,0.408710509,0.160096487,0.760687801,0.034416852,0.0,0.611499,0.388501,0.010917,0.010917,0.0,0.0,0.032377038,0.064143188,0.4502247,0.0,0.032377038,0.032377038,0.0,0.0,0.021750859,0.207252747,0.152044077,0.187193808,0.0,0.0,0.054649063,0.081973595,0.081973595,0.327894379
100143,0.269843,0.730157,0.0,0.730157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.410635,0.589365,0.0,0.0,0.269843,0.0,0.0,0.034116788,0.0,0.136878196,0.239640016,0.0,0.56142867,0.0,0.16872833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100157,0.330462,0.669145,0.000393,0.0,0.669145,0.060014946,0.609130054,0.323994656,0.345150344,0.032978142,0.465372281,0.097891899,0.072903348,0.129321,0.870679,0.256827796,0.073634204,0.0,0.0,0.0,0.02157501,0.086170979,0.02157501,0.0,0.0,0.0,0.0,0.0,0.183397823,0.140596833,0.0,0.042326338,0.052371144,0.0,0.0,0.0,0.229297174
100237,0.164391,0.800759,0.03485,0.030794789,0.769964211,0.149036583,0.620927629,0.387741657,0.382222554,0.04905519,0.609382785,0.111527006,0.0,0.132726,0.867274,0.0,0.164391,0.0,0.0597267,0.0,0.0,0.0,0.0729993,0.0,0.0,0.030794789,0.0,0.0,0.208685274,0.179056383,0.0,0.032727722,0.140980152,0.0,0.0,0.089185234,0.124848161
100259,0.338597,0.661403,0.0,0.0,0.661403,0.073501054,0.587901946,0.299843082,0.361559918,0.0,0.0,0.581238311,0.080164689,0.439053,0.560947,0.223842752,0.114754248,0.0,0.439053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.209312959,0.090530122,0.0,0.099847746,0.0,0.0,0.0,0.0,0.199995335
100263,0.179654,0.81853,0.001816,0.573791167,0.244738833,0.047325638,0.197413195,0.016622906,0.228115927,0.07109761,0.067407193,0.106233785,0.0,0.913055,0.086945,0.0,0.075166874,0.104487126,0.0,0.019174155,0.019174155,0.05843552,0.05843552,0.75783565,0.0,0.340376363,0.091809456,0.141605348,0.0,0.007855104,0.008767802,0.0,0.0,0.0,0.0,0.0,0.016622906
100322,0.091987,0.908013,0.0,0.816805818,0.091207182,0.0,0.091207182,0.0,0.091207182,0.044668535,0.0,0.0,0.046538647,0.0,1.0,0.0,0.0,0.091987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.629588207,0.044402381,0.14281523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100335,0.165002,0.834998,0.0,0.235324981,0.599673019,0.148673933,0.450999086,0.378225766,0.221447252,0.301093424,0.139671642,0.158907953,0.0,0.313408,0.686592,0.0,0.1237515,0.0412505,0.024132416,0.0,0.0,0.216878336,0.072397248,0.0,0.0,0.078441582,0.078441582,0.078441582,0.047278221,0.236391104,0.094556442,0.141834662,0.094556442,0.0,0.0,0.0,0.141834662
100380,0.03,0.97,0.0,0.04365,0.92635,0.463175,0.463175,0.92635,0.0,0.0,0.5724843,0.32700155,0.02686415,0.101,0.899,0.0,0.02721,0.00279,0.027343629,0.01614384,0.030168801,0.027343629,0.0,0.0,0.0,0.01619415,0.0,0.02745585,0.463175,0.463175,0.0,0.0,0.272619247,0.136309623,0.272619247,0.081600319,0.163200638
