GalaxyID,Class1.1,Class1.2,Class1.3,Class2.1,Class2.2,Class3.1,Class3.2,Class4.1,Class4.2,Class5.1,Class5.2,Class5.3,Class5.4,Class6.1,Class6.2,Class7.1,Class7.2,Class7.3,Class8.1,Class8.2,Class8.3,Class8.4,Class8.5,Class8.6,Class8.7,Class9.1,Class9.2,Class9.3,Class10.1,Class10.2,Class10.3,Class11.1,Class11.2,Class11.3,Class11.4,Class11.5,Class11.6
126783,0.178,0.044,0.778,0.022,0.022,0.0,0.022,0.0,0.022,0.0,0.022,0.0,0.0,0.3,0.7,0.089,0.06675,0.02225,0.0,0.0999,0.0,0.0,0.2001,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345209,0.123542,0.0,0.876458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455305,0.544695,0.123542,0.0,0.0,0.0,0.2276525,0.0,0.0,0.0,0.2276525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
356310,0.064853,0.0,0.935147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.405247,0.594753,0.064853,0.0,0.0,0.0,0.0,0.0,0.0,0.405247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
357133,0.311,0.022,0.667,0.0,0.022,0.0,0.022,0.0,0.022,0.0,0.022,0.0,0.0,0.4,0.6,0.111027,0.1555,0.044473,0.0,0.0667332,0.0667332,0.0,0.1998,0.0667332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
437063,0.3193,0.0,0.6807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.180067,0.819933,0.044341191,0.274958809,0.0,0.0,0.0,0.046662202,0.0,0.133404798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515600,0.227,0.068,0.705,0.022644,0.045356,0.022678,0.022678,0.0,0.045356,0.0,0.0,0.022678,0.022678,0.385,0.615,0.0454,0.1135,0.0681,0.077,0.0,0.0,0.0,0.308,0.0,0.0,0.022644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515861,0.049617,0.272567,0.677816,0.025061445,0.247505555,0.0,0.247505555,0.10015337,0.147352184,0.07709402,0.170411534,0.0,0.0,0.305455,0.694545,0.0,0.0248085,0.0248085,0.0,0.0,0.0,0.1527275,0.1527275,0.0,0.0,0.025061445,0.0,0.0,0.0,0.10015337,0.0,0.0,0.066802298,0.0,0.0,0.0,0.033351072
636777,0.274,0.042,0.684,0.0,0.042,0.0,0.042,0.0,0.042,0.0,0.021,0.0,0.021,0.067,0.933,0.231804,0.042196,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
646820,0.205,0.136,0.659,0.0,0.136,0.0,0.136,0.0,0.136,0.090621424,0.022689288,0.022689288,0.0,0.867,0.133,0.09102,0.11398,0.0,0.0,0.0,0.0,0.133518,0.733482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
783039,0.279,0.023,0.698,0.0,0.023,0.0,0.023,0.0,0.023,0.0,0.0,0.023,0.0,0.154,0.846,0.232407,0.046593,0.0,0.077,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
